Game Date,Player Name,Position,Team,Opponent,Period 1 - SOG,Period 2 - SOG,Period 3 - SOG,Total SOG,Period 1 - Blocked,Period 1 - Missed,Period 1 - Failed Shots,Period 2 - Blocked,Period 2 - Missed,Period 2 - Failed Shots,Period 3 - Blocked,Period 3 - Missed,Period 3 - Failed Shots,SUM of Failed Shots,SUM of Shot Attempts,Shot %,Failed Shot %
10/10/2024,Rasmus Dahlin,D,Buffalo Sabres,Los Angeles Kings,0,1,1,2,1,0,1,3,0,3,2,0,2,6,8,25,75
10/10/2024,Jordan Greenway,LW,Buffalo Sabres,Los Angeles Kings,0,0,1,1,0,0,0,1,1,2,1,0,1,3,4,25,75
10/10/2024,Henri Jokiharju,D,Buffalo Sabres,Los Angeles Kings,0,1,0,1,0,0,0,1,0,1,0,0,0,1,2,50,50
10/10/2024,Peyton Krebs,C,Buffalo Sabres,Los Angeles Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/10/2024,Jiri Kulich,C,Buffalo Sabres,Los Angeles Kings,0,2,0,2,0,0,0,0,0,0,0,1,1,1,3,66.66666667,33.33333333
10/10/2024,Sam Lafferty,C,Buffalo Sabres,Los Angeles Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/10/2024,Beck Malenstyn,LW,Buffalo Sabres,Los Angeles Kings,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,100,0
10/10/2024,Ryan McLeod,C,Buffalo Sabres,Los Angeles Kings,3,0,0,3,0,0,0,0,0,0,0,1,1,1,4,75,25
10/10/2024,Owen Power,D,Buffalo Sabres,Los Angeles Kings,2,0,0,2,1,1,2,0,1,1,1,0,1,4,6,33.33333333,66.66666667
10/10/2024,Jack Quinn,RW,Buffalo Sabres,Los Angeles Kings,0,1,0,1,0,1,1,0,0,0,1,1,2,3,4,25,75
10/10/2024,Mattias Samuelsson,D,Buffalo Sabres,Los Angeles Kings,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,100
10/10/2024,Tage Thompson,C,Buffalo Sabres,Los Angeles Kings,3,0,2,5,0,0,0,3,2,5,2,3,5,10,15,33.33333333,66.66666667
10/10/2024,Alex Tuch,RW,Buffalo Sabres,Los Angeles Kings,0,4,0,4,0,1,1,0,3,3,1,0,1,5,9,44.44444444,55.55555556
10/10/2024,Jason Zucker,LW,Buffalo Sabres,Los Angeles Kings,0,1,0,1,1,0,1,0,0,0,0,0,0,1,2,50,50
,,,,,,,,,,,,,,,,,,,,,
10/12/2024,Zach Benson,LW,Buffalo Sabres,Florida Panthers,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,100,0
10/12/2024,Bowen Byram,D,Buffalo Sabres,Florida Panthers,1,0,0,1,0,0,0,0,0,0,2,0,2,2,3,33.33333333,66.66666667
10/12/2024,Connor Clifton,D,Buffalo Sabres,Florida Panthers,1,0,2,3,0,1,1,0,0,0,0,0,0,1,4,75,25
10/12/2024,Dylan Cozens,C,Buffalo Sabres,Florida Panthers,0,2,0,2,0,0,0,1,1,2,0,0,0,2,4,50,50
10/12/2024,Rasmus Dahlin,D,Buffalo Sabres,Florida Panthers,0,0,0,0,1,1,2,2,0,2,0,0,0,4,4,0,100
10/12/2024,Dennis Gilbert,D,Buffalo Sabres,Florida Panthers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/12/2024,Jordan Greenway,LW,Buffalo Sabres,Florida Panthers,1,0,1,2,0,1,1,0,1,1,1,0,1,3,5,40,60
